Time[s], SS, SCK, MOSI, MISO
0.00039275, 0, 0, 1, 0
0.0003928125, 1, 0, 1, 0
0.000392875, 1, 0, 1, 0
0.0003929375, 1, 0, 1, 0
0.000393, 1, 0, 1, 0
0.0003930625, 1, 0, 1, 0
0.000393125, 1, 0, 1, 0
0.0003931875, 1, 0, 1, 0
0.00039325, 1, 0, 1, 0
0.0003933125, 1, 0, 1, 0
0.000393375, 1, 0, 1, 0
0.0003934375, 1, 0, 1, 0
0.0003935, 1, 0, 1, 0
0.0003935625, 1, 0, 1, 0
0.000393625, 1, 0, 1, 0
0.0003936875, 1, 0, 1, 0
0.00039375, 1, 0, 1, 0
0.0003938125, 1, 0, 1, 0
0.000393875, 1, 0, 1, 0
0.0003939375, 1, 0, 1, 0
0.000394, 1, 0, 1, 0
0.0003940625, 1, 0, 1, 0
0.000394125, 1, 0, 1, 0
0.0003941875, 1, 0, 1, 0
0.00039425, 1, 0, 1, 0
0.0003943125, 1, 0, 1, 0
0.000394375, 1, 0, 1, 0
0.0003944375, 1, 0, 1, 0
0.0003945, 1, 0, 1, 0
0.0003945625, 1, 0, 1, 0
0.000394625, 1, 0, 1, 0
0.0003946875, 1, 0, 1, 0
0.00039475, 1, 0, 1, 0
0.0003948125, 1, 0, 1, 0
0.000394875, 1, 0, 1, 0
0.0003949375, 1, 0, 1, 0
0.000395, 1, 0, 1, 0
0.0003950625, 1, 0, 1, 0
0.000395125, 1, 0, 1, 0
0.0003951875, 1, 0, 1, 0
0.00039525, 1, 0, 1, 0
0.0003953125, 1, 0, 1, 0
0.000395375, 1, 0, 1, 0
0.0003954375, 1, 0, 1, 0
0.0003955, 1, 0, 1, 0
0.0003955625, 1, 0, 1, 0
0.000395625, 1, 0, 1, 0
0.0003956875, 1, 0, 1, 0
0.00039575, 1, 0, 1, 0
0.0003958125, 1, 0, 1, 0
0.000395875, 1, 0, 1, 0
0.0003959375, 1, 0, 1, 0
0.000396, 1, 0, 1, 0
0.0003960625, 1, 0, 1, 0
0.000396125, 1, 0, 1, 0
0.0003961875, 1, 0, 1, 0
0.00039625, 1, 0, 1, 0
0.0003963125, 1, 0, 1, 0
0.000396375, 1, 0, 1, 0
0.0003964375, 1, 0, 1, 0
0.0003965, 1, 0, 1, 0
0.0003965625, 1, 0, 1, 0
0.000396625, 1, 0, 1, 0
0.0003966875, 1, 0, 1, 0
0.00039675, 1, 0, 1, 0
0.0003968125, 1, 0, 1, 0
0.000396875, 1, 0, 1, 0
0.0003969375, 1, 0, 1, 0
0.000397, 1, 0, 1, 0
0.0003970625, 1, 0, 1, 0
0.000397125, 1, 0, 1, 0
0.0003971875, 1, 0, 1, 0
0.00039725, 1, 0, 1, 0
0.0003973125, 1, 0, 1, 0
0.000397375, 1, 0, 1, 0
0.0003974375, 1, 0, 1, 0
0.0003975, 1, 0, 1, 0
0.0003975625, 1, 0, 1, 0
0.000397625, 1, 0, 1, 0
0.0003976875, 1, 0, 1, 0
0.00039775, 1, 0, 1, 0
0.0003978125, 1, 0, 1, 0
0.000397875, 1, 0, 1, 0
0.0003979375, 1, 0, 1, 0
0.000398, 1, 0, 1, 0
0.0003980625, 1, 0, 1, 0
0.000398125, 1, 0, 1, 0
0.0003981875, 1, 0, 1, 0
0.00039825, 1, 0, 1, 0
0.0003983125, 1, 0, 1, 0
0.000398375, 1, 0, 1, 0
0.0003984375, 1, 0, 1, 0
0.0003985, 1, 0, 1, 0
0.0003985625, 1, 0, 1, 0
0.000398625, 1, 0, 1, 0
